Packet: Ether / IP / TCP 192.168.9.2:60824 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60825 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60845 > 44.218.155.151:https S | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60843 SA | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60843 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60844 SA | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60844 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60843 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60844 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60825 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60843 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60843 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60844 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60844 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60844 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60843 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60824 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60844 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60843 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60844 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60843 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60825 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60843 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60844 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60824 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60843 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60844 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60825 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60845 SA | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60845 > 44.218.155.151:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60845 > 44.218.155.151:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60843 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60844 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60845 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60845 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60845 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60845 > 44.218.155.151:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60845 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60845 PA / Raw / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60845 > 44.218.155.151:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60845 > 44.218.155.151:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60845 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
